Sector,Salary Group,Employment Group,Gender,Components,Year,Contents
Municipal and regional government total,Fixed salary-earners,Employees,Men,Number of fulltime employees in the earnings statistics,2015,105027.0
Municipal and regional government total,Fixed salary-earners,Employees,Women,STANDARDIZED HOURLY EARNINGS,2015,225.52
Municipal and regional government total,Fixed salary-earners,Employees,Women,Fringe benefits in DKK per standard hour,2015,0.06
Municipal and regional government total,Fixed salary-earners,Employees,Women,Pension including ATP in DKK per standard hour,2015,29.27
Municipal and regional government total,Fixed salary-earners,Employees,Women,Basic earnings in DKK per standard hour,2015,187.16
Municipal and regional government total,Fixed salary-earners,Employees,Women,"Lower quartile, standardized earnings",2015,190.17
Municipal and regional government total,Fixed salary-earners,Employees,Women,"Median, standardized hourly earnings",2015,218.33
Municipal and regional government total,Fixed salary-earners,Employees,Women,"Upper quartile, standardized hourly earnings",2015,248.21
Municipal and regional government total,Fixed salary-earners,Employees,Women,STANDARDIZED MONTHLY EARNINGS,2015,36157.33
Municipal and regional government total,Fixed salary-earners,Employees,Women,Number of fulltime employees in the earnings statistics,2015,355843.0
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,STANDARDIZED HOURLY EARNINGS,2015,221.48
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,Fringe benefits in DKK per standard hour,2015,0.05
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,Pension including ATP in DKK per standard hour,2015,28.58
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,Basic earnings in DKK per standard hour,2015,183.89
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,"Lower quartile, standardized earnings",2015,189.04
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,"Median, standardized hourly earnings",2015,217.0
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,"Upper quartile, standardized hourly earnings",2015,245.74
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2015,35509.35
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,Number of fulltime employees in the earnings statistics,2015,426261.0
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Men,STANDARDIZED HOURLY EARNINGS,2015,231.97
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Men,Fringe benefits in DKK per standard hour,2015,0.1
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Men,Pension including ATP in DKK per standard hour,2015,30.65
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Men,Basic earnings in DKK per standard hour,2015,192.6
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Men,"Lower quartile, standardized earnings",2015,192.52
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Men,"Median, standardized hourly earnings",2015,224.04
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Men,"Upper quartile, standardized hourly earnings",2015,262.41
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Men,STANDARDIZED MONTHLY EARNINGS,2015,37191.09
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Men,Number of fulltime employees in the earnings statistics,2015,91892.0
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Women,STANDARDIZED HOURLY EARNINGS,2015,218.5
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Women,Fringe benefits in DKK per standard hour,2015,0.04
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Women,Pension including ATP in DKK per standard hour,2015,27.99
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Women,Basic earnings in DKK per standard hour,2015,181.42
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Women,"Lower quartile, standardized earnings",2015,188.21
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Women,"Median, standardized hourly earnings",2015,215.43
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Women,"Upper quartile, standardized hourly earnings",2015,241.48
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Women,STANDARDIZED MONTHLY EARNINGS,2015,35032.48
Municipal and regional government total,Fixed salary-earners,"Employees, non-managerial level",Women,Number of fulltime employees in the earnings statistics,2015,334369.0
Regional government,All forms of pay,General managers,Mean of men and women,STANDARDIZED HOURLY EARNINGS,2015,448.87
Regional government,All forms of pay,General managers,Mean of men and women,Fringe benefits in DKK per standard hour,2015,0.29
Regional government,All forms of pay,General managers,Mean of men and women,Pension including ATP in DKK per standard hour,2015,67.99
Regional government,All forms of pay,General managers,Mean of men and women,Basic earnings in DKK per standard hour,2015,351.28
Regional government,All forms of pay,General managers,Mean of men and women,"Lower quartile, standardized earnings",2015,291.46
Regional government,All forms of pay,General managers,Mean of men and women,"Median, standardized hourly earnings",2015,483.58
Regional government,All forms of pay,General managers,Mean of men and women,"Upper quartile, standardized hourly earnings",2015,555.09
Regional government,All forms of pay,General managers,Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2015,71967.44
Regional government,All forms of pay,General managers,Mean of men and women,Number of fulltime employees in the earnings statistics,2015,11106.0
Regional government,All forms of pay,General managers,Men,STANDARDIZED HOURLY EARNINGS,2015,524.48
Regional government,All forms of pay,General managers,Men,Fringe benefits in DKK per standard hour,2015,0.29
Regional government,All forms of pay,General managers,Men,Pension including ATP in DKK per standard hour,2015,80.53
Regional government,All forms of pay,General managers,Men,Basic earnings in DKK per standard hour,2015,400.24
Regional government,All forms of pay,General managers,Men,"Lower quartile, standardized earnings",2015,479.09
Regional government,All forms of pay,General managers,Men,"Median, standardized hourly earnings",2015,530.18
Regional government,All forms of pay,General managers,Men,"Upper quartile, standardized hourly earnings",2015,590.86
Regional government,All forms of pay,General managers,Men,STANDARDIZED MONTHLY EARNINGS,2015,84090.01
Regional government,All forms of pay,General managers,Men,Number of fulltime employees in the earnings statistics,2015,4725.0
Regional government,All forms of pay,General managers,Women,STANDARDIZED HOURLY EARNINGS,2015,392.01
Regional government,All forms of pay,General managers,Women,Fringe benefits in DKK per standard hour,2015,0.29
Regional government,All forms of pay,General managers,Women,Pension including ATP in DKK per standard hour,2015,58.55
Regional government,All forms of pay,General managers,Women,Basic earnings in DKK per standard hour,2015,314.47
Regional government,All forms of pay,General managers,Women,"Lower quartile, standardized earnings",2015,274.37
Regional government,All forms of pay,General managers,Women,"Median, standardized hourly earnings",2015,329.88
Regional government,All forms of pay,General managers,Women,"Upper quartile, standardized hourly earnings",2015,509.27
Regional government,All forms of pay,General managers,Women,STANDARDIZED MONTHLY EARNINGS,2015,62850.73
Regional government,All forms of pay,General managers,Women,Number of fulltime employees in the earnings statistics,2015,6381.0
Regional government,All forms of pay,Employees,Mean of men and women,STANDARDIZED HOURLY EARNINGS,2015,258.77
Regional government,All forms of pay,Employees,Mean of men and women,Fringe benefits in DKK per standard hour,2015,0.09
Regional government,All forms of pay,Employees,Mean of men and women,Pension including ATP in DKK per standard hour,2015,33.75
Regional government,All forms of pay,Employees,Mean of men and women,Basic earnings in DKK per standard hour,2015,207.27
Regional government,All forms of pay,Employees,Mean of men and women,"Lower quartile, standardized earnings",2015,201.22
Regional government,All forms of pay,Employees,Mean of men and women,"Median, standardized hourly earnings",2015,230.76
Regional government,All forms of pay,Employees,Mean of men and women,"Upper quartile, standardized hourly earnings",2015,273.39
Regional government,All forms of pay,Employees,Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2015,41488.98
Regional government,All forms of pay,Employees,Mean of men and women,Number of fulltime employees in the earnings statistics,2015,110665.0
Regional government,All forms of pay,Employees,Men,STANDARDIZED HOURLY EARNINGS,2015,313.38
Regional government,All forms of pay,Employees,Men,Fringe benefits in DKK per standard hour,2015,0.16
Regional government,All forms of pay,Employees,Men,Pension including ATP in DKK per standard hour,2015,43.5
Regional government,All forms of pay,Employees,Men,Basic earnings in DKK per standard hour,2015,245.74
Regional government,All forms of pay,Employees,Men,"Lower quartile, standardized earnings",2015,207.94
Regional government,All forms of pay,Employees,Men,"Median, standardized hourly earnings",2015,260.55
Regional government,All forms of pay,Employees,Men,"Upper quartile, standardized hourly earnings",2015,380.37
Regional government,All forms of pay,Employees,Men,STANDARDIZED MONTHLY EARNINGS,2015,50244.81
Regional government,All forms of pay,Employees,Men,Number of fulltime employees in the earnings statistics,2015,23695.0
Regional government,All forms of pay,Employees,Women,STANDARDIZED HOURLY EARNINGS,2015,243.35
Regional government,All forms of pay,Employees,Women,Fringe benefits in DKK per standard hour,2015,0.07
Regional government,All forms of pay,Employees,Women,Pension including ATP in DKK per standard hour,2015,30.99
Regional government,All forms of pay,Employees,Women,Basic earnings in DKK per standard hour,2015,196.4
Regional government,All forms of pay,Employees,Women,"Lower quartile, standardized earnings",2015,199.83
Regional government,All forms of pay,Employees,Women,"Median, standardized hourly earnings",2015,227.03
Regional government,All forms of pay,Employees,Women,"Upper quartile, standardized hourly earnings",2015,260.15
Regional government,All forms of pay,Employees,Women,STANDARDIZED MONTHLY EARNINGS,2015,39015.95
Regional government,All forms of pay,Employees,Women,Number of fulltime employees in the earnings statistics,2015,86970.0
Regional government,All forms of pay,"Employees, non-managerial level",Mean of men and women,STANDARDIZED HOURLY EARNINGS,2015,236.32
Regional government,All forms of pay,"Employees, non-managerial level",Mean of men and women,Fringe benefits in DKK per standard hour,2015,0.06
Regional government,All forms of pay,"Employees, non-managerial level",Mean of men and women,Pension including ATP in DKK per standard hour,2015,29.7
Regional government,All forms of pay,"Employees, non-managerial level",Mean of men and women,Basic earnings in DKK per standard hour,2015,190.25
Regional government,All forms of pay,"Employees, non-managerial level",Mean of men and women,"Lower quartile, standardized earnings",2015,197.69
Regional government,All forms of pay,"Employees, non-managerial level",Mean of men and women,"Median, standardized hourly earnings",2015,224.91
Regional government,All forms of pay,"Employees, non-managerial level",Mean of men and women,"Upper quartile, standardized hourly earnings",2015,257.24
Regional government,All forms of pay,"Employees, non-managerial level",Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2015,37888.87
Regional government,All forms of pay,"Employees, non-managerial level",Mean of men and women,Number of fulltime employees in the earnings statistics,2015,99560.0
Regional government,All forms of pay,"Employees, non-managerial level",Men,STANDARDIZED HOURLY EARNINGS,2015,258.65
Regional government,All forms of pay,"Employees, non-managerial level",Men,Fringe benefits in DKK per standard hour,2015,0.13
Regional government,All forms of pay,"Employees, non-managerial level",Men,Pension including ATP in DKK per standard hour,2015,33.89
Regional government,All forms of pay,"Employees, non-managerial level",Men,Basic earnings in DKK per standard hour,2015,205.68
Regional government,All forms of pay,"Employees, non-managerial level",Men,"Lower quartile, standardized earnings",2015,198.91
Regional government,All forms of pay,"Employees, non-managerial level",Men,"Median, standardized hourly earnings",2015,236.11
Regional government,All forms of pay,"Employees, non-managerial level",Men,"Upper quartile, standardized hourly earnings",2015,296.43
Regional government,All forms of pay,"Employees, non-managerial level",Men,STANDARDIZED MONTHLY EARNINGS,2015,41469.63
Regional government,All forms of pay,"Employees, non-managerial level",Men,Number of fulltime employees in the earnings statistics,2015,18970.0
Regional government,All forms of pay,"Employees, non-managerial level",Women,STANDARDIZED HOURLY EARNINGS,2015,230.89
Regional government,All forms of pay,"Employees, non-managerial level",Women,Fringe benefits in DKK per standard hour,2015,0.05
Regional government,All forms of pay,"Employees, non-managerial level",Women,Pension including ATP in DKK per standard hour,2015,28.68
Regional government,All forms of pay,"Employees, non-managerial level",Women,Basic earnings in DKK per standard hour,2015,186.5
Regional government,All forms of pay,"Employees, non-managerial level",Women,"Lower quartile, standardized earnings",2015,197.45
Regional government,All forms of pay,"Employees, non-managerial level",Women,"Median, standardized hourly earnings",2015,223.34
Regional government,All forms of pay,"Employees, non-managerial level",Women,"Upper quartile, standardized hourly earnings",2015,251.19
Regional government,All forms of pay,"Employees, non-managerial level",Women,STANDARDIZED MONTHLY EARNINGS,2015,37018.43
Regional government,All forms of pay,"Employees, non-managerial level",Women,Number of fulltime employees in the earnings statistics,2015,80589.0
Regional government,Workers paid by the hour,General managers,Mean of men and women,STANDARDIZED HOURLY EARNINGS,2015,
Regional government,Workers paid by the hour,General managers,Mean of men and women,Fringe benefits in DKK per standard hour,2015,
Regional government,Workers paid by the hour,General managers,Mean of men and women,Pension including ATP in DKK per standard hour,2015,
Regional government,Workers paid by the hour,General managers,Mean of men and women,Basic earnings in DKK per standard hour,2015,
Regional government,Workers paid by the hour,General managers,Mean of men and women,"Lower quartile, standardized earnings",2015,
Regional government,Workers paid by the hour,General managers,Mean of men and women,"Median, standardized hourly earnings",2015,
Regional government,Workers paid by the hour,General managers,Mean of men and women,"Upper quartile, standardized hourly earnings",2015,
Regional government,Workers paid by the hour,General managers,Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2015,
Regional government,Workers paid by the hour,General managers,Mean of men and women,Number of fulltime employees in the earnings statistics,2015,4.0
Regional government,Workers paid by the hour,General managers,Men,STANDARDIZED HOURLY EARNINGS,2015,
Regional government,Workers paid by the hour,General managers,Men,Fringe benefits in DKK per standard hour,2015,
Regional government,Workers paid by the hour,General managers,Men,Pension including ATP in DKK per standard hour,2015,
Regional government,Workers paid by the hour,General managers,Men,Basic earnings in DKK per standard hour,2015,
Regional government,Workers paid by the hour,General managers,Men,"Lower quartile, standardized earnings",2015,
Regional government,Workers paid by the hour,General managers,Men,"Median, standardized hourly earnings",2015,
Regional government,Workers paid by the hour,General managers,Men,"Upper quartile, standardized hourly earnings",2015,
Regional government,Workers paid by the hour,General managers,Men,STANDARDIZED MONTHLY EARNINGS,2015,
Regional government,Workers paid by the hour,General managers,Men,Number of fulltime employees in the earnings statistics,2015,3.0
Regional government,Workers paid by the hour,General managers,Women,STANDARDIZED HOURLY EARNINGS,2015,
Regional government,Workers paid by the hour,General managers,Women,Fringe benefits in DKK per standard hour,2015,
Regional government,Workers paid by the hour,General managers,Women,Pension including ATP in DKK per standard hour,2015,
Regional government,Workers paid by the hour,General managers,Women,Basic earnings in DKK per standard hour,2015,
Regional government,Workers paid by the hour,General managers,Women,"Lower quartile, standardized earnings",2015,
Regional government,Workers paid by the hour,General managers,Women,"Median, standardized hourly earnings",2015,
Regional government,Workers paid by the hour,General managers,Women,"Upper quartile, standardized hourly earnings",2015,
Regional government,Workers paid by the hour,General managers,Women,STANDARDIZED MONTHLY EARNINGS,2015,
Regional government,Workers paid by the hour,General managers,Women,Number of fulltime employees in the earnings statistics,2015,1.0
Regional government,Workers paid by the hour,Employees,Mean of men and women,STANDARDIZED HOURLY EARNINGS,2015,216.03
Regional government,Workers paid by the hour,Employees,Mean of men and women,Fringe benefits in DKK per standard hour,2015,0.0
Regional government,Workers paid by the hour,Employees,Mean of men and women,Pension including ATP in DKK per standard hour,2015,14.81
Regional government,Workers paid by the hour,Employees,Mean of men and women,Basic earnings in DKK per standard hour,2015,164.34
Regional government,Workers paid by the hour,Employees,Mean of men and women,"Lower quartile, standardized earnings",2015,169.27
Regional government,Workers paid by the hour,Employees,Mean of men and women,"Median, standardized hourly earnings",2015,206.56
Regional government,Workers paid by the hour,Employees,Mean of men and women,"Upper quartile, standardized hourly earnings",2015,253.26
Regional government,Workers paid by the hour,Employees,Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2015,34636.12
Regional government,Workers paid by the hour,Employees,Mean of men and women,Number of fulltime employees in the earnings statistics,2015,1172.0
Regional government,Workers paid by the hour,Employees,Men,STANDARDIZED HOURLY EARNINGS,2015,204.56
Regional government,Workers paid by the hour,Employees,Men,Fringe benefits in DKK per standard hour,2015,0.0
Regional government,Workers paid by the hour,Employees,Men,Pension including ATP in DKK per standard hour,2015,12.6
Regional government,Workers paid by the hour,Employees,Men,Basic earnings in DKK per standard hour,2015,160.07
Regional government,Workers paid by the hour,Employees,Men,"Lower quartile, standardized earnings",2015,162.26
Regional government,Workers paid by the hour,Employees,Men,"Median, standardized hourly earnings",2015,187.48
Regional government,Workers paid by the hour,Employees,Men,"Upper quartile, standardized hourly earnings",2015,234.02
Regional government,Workers paid by the hour,Employees,Men,STANDARDIZED MONTHLY EARNINGS,2015,32797.35
Regional government,Workers paid by the hour,Employees,Men,Number of fulltime employees in the earnings statistics,2015,325.0
Regional government,Workers paid by the hour,Employees,Women,STANDARDIZED HOURLY EARNINGS,2015,220.44
Regional government,Workers paid by the hour,Employees,Women,Fringe benefits in DKK per standard hour,2015,0.0
Regional government,Workers paid by the hour,Employees,Women,Pension including ATP in DKK per standard hour,2015,15.66
Regional government,Workers paid by the hour,Employees,Women,Basic earnings in DKK per standard hour,2015,165.98
Regional government,Workers paid by the hour,Employees,Women,"Lower quartile, standardized earnings",2015,172.82
Regional government,Workers paid by the hour,Employees,Women,"Median, standardized hourly earnings",2015,214.81
Regional government,Workers paid by the hour,Employees,Women,"Upper quartile, standardized hourly earnings",2015,259.37
Regional government,Workers paid by the hour,Employees,Women,STANDARDIZED MONTHLY EARNINGS,2015,35342.75
Regional government,Workers paid by the hour,Employees,Women,Number of fulltime employees in the earnings statistics,2015,847.0
Regional government,Workers paid by the hour,"Employees, non-managerial level",Mean of men and women,STANDARDIZED HOURLY EARNINGS,2015,215.11
Regional government,Workers paid by the hour,"Employees, non-managerial level",Mean of men and women,Fringe benefits in DKK per standard hour,2015,0.0
Regional government,Workers paid by the hour,"Employees, non-managerial level",Mean of men and women,Pension including ATP in DKK per standard hour,2015,14.77
Regional government,Workers paid by the hour,"Employees, non-managerial level",Mean of men and women,Basic earnings in DKK per standard hour,2015,163.46
Regional government,Workers paid by the hour,"Employees, non-managerial level",Mean of men and women,"Lower quartile, standardized earnings",2015,169.19
Regional government,Workers paid by the hour,"Employees, non-managerial level",Mean of men and women,"Median, standardized hourly earnings",2015,206.32
Regional government,Workers paid by the hour,"Employees, non-managerial level",Mean of men and women,"Upper quartile, standardized hourly earnings",2015,252.98
Regional government,Workers paid by the hour,"Employees, non-managerial level",Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2015,34488.34
Regional government,Workers paid by the hour,"Employees, non-managerial level",Mean of men and women,Number of fulltime employees in the earnings statistics,2015,1168.0
Regional government,Workers paid by the hour,"Employees, non-managerial level",Men,STANDARDIZED HOURLY EARNINGS,2015,201.37
Regional government,Workers paid by the hour,"Employees, non-managerial level",Men,Fringe benefits in DKK per standard hour,2015,0.0
Regional government,Workers paid by the hour,"Employees, non-managerial level",Men,Pension including ATP in DKK per standard hour,2015,12.5
Regional government,Workers paid by the hour,"Employees, non-managerial level",Men,Basic earnings in DKK per standard hour,2015,157.1
Regional government,Workers paid by the hour,"Employees, non-managerial level",Men,"Lower quartile, standardized earnings",2015,162.02
Regional government,Workers paid by the hour,"Employees, non-managerial level",Men,"Median, standardized hourly earnings",2015,187.18
Regional government,Workers paid by the hour,"Employees, non-managerial level",Men,"Upper quartile, standardized hourly earnings",2015,232.87
Regional government,Workers paid by the hour,"Employees, non-managerial level",Men,STANDARDIZED MONTHLY EARNINGS,2015,32285.42
Regional government,Workers paid by the hour,"Employees, non-managerial level",Men,Number of fulltime employees in the earnings statistics,2015,322.0
Regional government,Workers paid by the hour,"Employees, non-managerial level",Women,STANDARDIZED HOURLY EARNINGS,2015,220.35
Regional government,Workers paid by the hour,"Employees, non-managerial level",Women,Fringe benefits in DKK per standard hour,2015,0.0
Regional government,Workers paid by the hour,"Employees, non-managerial level",Women,Pension including ATP in DKK per standard hour,2015,15.64
Regional government,Workers paid by the hour,"Employees, non-managerial level",Women,Basic earnings in DKK per standard hour,2015,165.88
Regional government,Workers paid by the hour,"Employees, non-managerial level",Women,"Lower quartile, standardized earnings",2015,172.82
Regional government,Workers paid by the hour,"Employees, non-managerial level",Women,"Median, standardized hourly earnings",2015,214.65
Regional government,Workers paid by the hour,"Employees, non-managerial level",Women,"Upper quartile, standardized hourly earnings",2015,258.6
Regional government,Workers paid by the hour,"Employees, non-managerial level",Women,STANDARDIZED MONTHLY EARNINGS,2015,35328.48
Regional government,Workers paid by the hour,"Employees, non-managerial level",Women,Number of fulltime employees in the earnings statistics,2015,846.0
Regional government,Fixed salary-earners,General managers,Mean of men and women,STANDARDIZED HOURLY EARNINGS,2015,448.86
Regional government,Fixed salary-earners,General managers,Mean of men and women,Fringe benefits in DKK per standard hour,2015,0.29
Regional government,Fixed salary-earners,General managers,Mean of men and women,Pension including ATP in DKK per standard hour,2015,68.0
Regional government,Fixed salary-earners,General managers,Mean of men and women,Basic earnings in DKK per standard hour,2015,351.26
Regional government,Fixed salary-earners,General managers,Mean of men and women,"Lower quartile, standardized earnings",2015,291.46
Regional government,Fixed salary-earners,General managers,Mean of men and women,"Median, standardized hourly earnings",2015,483.57
Regional government,Fixed salary-earners,General managers,Mean of men and women,"Upper quartile, standardized hourly earnings",2015,555.04
Regional government,Fixed salary-earners,General managers,Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2015,71965.84
Regional government,Fixed salary-earners,General managers,Mean of men and women,Number of fulltime employees in the earnings statistics,2015,11101.0
Regional government,Fixed salary-earners,General managers,Men,STANDARDIZED HOURLY EARNINGS,2015,524.46
Regional government,Fixed salary-earners,General managers,Men,Fringe benefits in DKK per standard hour,2015,0.29
Regional government,Fixed salary-earners,General managers,Men,Pension including ATP in DKK per standard hour,2015,80.58
Regional government,Fixed salary-earners,General managers,Men,Basic earnings in DKK per standard hour,2015,400.18
Regional government,Fixed salary-earners,General managers,Men,"Lower quartile, standardized earnings",2015,479.09
Regional government,Fixed salary-earners,General managers,Men,"Median, standardized hourly earnings",2015,530.18
Regional government,Fixed salary-earners,General managers,Men,"Upper quartile, standardized hourly earnings",2015,590.87
Regional government,Fixed salary-earners,General managers,Men,STANDARDIZED MONTHLY EARNINGS,2015,84086.68
Regional government,Fixed salary-earners,General managers,Men,Number of fulltime employees in the earnings statistics,2015,4722.0
Regional government,Fixed salary-earners,General managers,Women,STANDARDIZED HOURLY EARNINGS,2015,392.03
Regional government,Fixed salary-earners,General managers,Women,Fringe benefits in DKK per standard hour,2015,0.29
Regional government,Fixed salary-earners,General managers,Women,Pension including ATP in DKK per standard hour,2015,58.55
Regional government,Fixed salary-earners,General managers,Women,Basic earnings in DKK per standard hour,2015,314.49
Regional government,Fixed salary-earners,General managers,Women,"Lower quartile, standardized earnings",2015,274.37
Regional government,Fixed salary-earners,General managers,Women,"Median, standardized hourly earnings",2015,329.9
Regional government,Fixed salary-earners,General managers,Women,"Upper quartile, standardized hourly earnings",2015,509.44
Regional government,Fixed salary-earners,General managers,Women,STANDARDIZED MONTHLY EARNINGS,2015,62854.94
Regional government,Fixed salary-earners,General managers,Women,Number of fulltime employees in the earnings statistics,2015,6380.0
Regional government,Fixed salary-earners,Employees,Mean of men and women,STANDARDIZED HOURLY EARNINGS,2015,259.34
Regional government,Fixed salary-earners,Employees,Mean of men and women,Fringe benefits in DKK per standard hour,2015,0.09
Regional government,Fixed salary-earners,Employees,Mean of men and women,Pension including ATP in DKK per standard hour,2015,34.0
Regional government,Fixed salary-earners,Employees,Mean of men and women,Basic earnings in DKK per standard hour,2015,207.84
Regional government,Fixed salary-earners,Employees,Mean of men and women,"Lower quartile, standardized earnings",2015,201.61
Regional government,Fixed salary-earners,Employees,Mean of men and women,"Median, standardized hourly earnings",2015,230.98
Regional government,Fixed salary-earners,Employees,Mean of men and women,"Upper quartile, standardized hourly earnings",2015,273.71
Regional government,Fixed salary-earners,Employees,Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2015,41580.0
Regional government,Fixed salary-earners,Employees,Mean of men and women,Number of fulltime employees in the earnings statistics,2015,109493.0
Regional government,Fixed salary-earners,Employees,Men,STANDARDIZED HOURLY EARNINGS,2015,315.21
Regional government,Fixed salary-earners,Employees,Men,Fringe benefits in DKK per standard hour,2015,0.16
Regional government,Fixed salary-earners,Employees,Men,Pension including ATP in DKK per standard hour,2015,44.01
Regional government,Fixed salary-earners,Employees,Men,Basic earnings in DKK per standard hour,2015,247.18
Regional government,Fixed salary-earners,Employees,Men,"Lower quartile, standardized earnings",2015,209.04
Regional government,Fixed salary-earners,Employees,Men,"Median, standardized hourly earnings",2015,262.36
Regional government,Fixed salary-earners,Employees,Men,"Upper quartile, standardized hourly earnings",2015,386.46
Regional government,Fixed salary-earners,Employees,Men,STANDARDIZED MONTHLY EARNINGS,2015,50537.94
Regional government,Fixed salary-earners,Employees,Men,Number of fulltime employees in the earnings statistics,2015,23370.0
Regional government,Fixed salary-earners,Employees,Women,STANDARDIZED HOURLY EARNINGS,2015,243.63
Regional government,Fixed salary-earners,Employees,Women,Fringe benefits in DKK per standard hour,2015,0.07
Regional government,Fixed salary-earners,Employees,Women,Pension including ATP in DKK per standard hour,2015,31.18
Regional government,Fixed salary-earners,Employees,Women,Basic earnings in DKK per standard hour,2015,196.77
Regional government,Fixed salary-earners,Employees,Women,"Lower quartile, standardized earnings",2015,200.12
Regional government,Fixed salary-earners,Employees,Women,"Median, standardized hourly earnings",2015,227.11
Regional government,Fixed salary-earners,Employees,Women,"Upper quartile, standardized hourly earnings",2015,260.16
Regional government,Fixed salary-earners,Employees,Women,STANDARDIZED MONTHLY EARNINGS,2015,39061.1
Regional government,Fixed salary-earners,Employees,Women,Number of fulltime employees in the earnings statistics,2015,86123.0
Regional government,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,STANDARDIZED HOURLY EARNINGS,2015,236.63
Regional government,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,Fringe benefits in DKK per standard hour,2015,0.07
Regional government,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,Pension including ATP in DKK per standard hour,2015,29.92
Regional government,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,Basic earnings in DKK per standard hour,2015,190.65
Regional government,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,"Lower quartile, standardized earnings",2015,198.05
Regional government,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,"Median, standardized hourly earnings",2015,225.06
Regional government,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,"Upper quartile, standardized hourly earnings",2015,257.29
Regional government,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2015,37939.27
Regional government,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,Number of fulltime employees in the earnings statistics,2015,98392.0
Regional government,Fixed salary-earners,"Employees, non-managerial level",Men,STANDARDIZED HOURLY EARNINGS,2015,259.86
Regional government,Fixed salary-earners,"Employees, non-managerial level",Men,Fringe benefits in DKK per standard hour,2015,0.13
Regional government,Fixed salary-earners,"Employees, non-managerial level",Men,Pension including ATP in DKK per standard hour,2015,34.34
Regional government,Fixed salary-earners,"Employees, non-managerial level",Men,Basic earnings in DKK per standard hour,2015,206.7
Regional government,Fixed salary-earners,"Employees, non-managerial level",Men,"Lower quartile, standardized earnings",2015,199.99
Regional government,Fixed salary-earners,"Employees, non-managerial level",Men,"Median, standardized hourly earnings",2015,237.23
Regional government,Fixed salary-earners,"Employees, non-managerial level",Men,"Upper quartile, standardized hourly earnings",2015,297.72
Regional government,Fixed salary-earners,"Employees, non-managerial level",Men,STANDARDIZED MONTHLY EARNINGS,2015,41662.98
Regional government,Fixed salary-earners,"Employees, non-managerial level",Men,Number of fulltime employees in the earnings statistics,2015,18648.0
Regional government,Fixed salary-earners,"Employees, non-managerial level",Women,STANDARDIZED HOURLY EARNINGS,2015,231.03
Regional government,Fixed salary-earners,"Employees, non-managerial level",Women,Fringe benefits in DKK per standard hour,2015,0.05
Regional government,Fixed salary-earners,"Employees, non-managerial level",Women,Pension including ATP in DKK per standard hour,2015,28.86
Regional government,Fixed salary-earners,"Employees, non-managerial level",Women,Basic earnings in DKK per standard hour,2015,186.78
